; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
110	4	1	comhad	19639488.28125
110	5	1	comhad	19902984.375
111	1	1	comhad	20266750
111	2	1	comhad	15643309.5703125
111	3	1	comhad	17681535.15625
111	4	1	comhad	18533341.796875
111	5	1	comhad	19025056.640625
112	1	1	comhad	18774609.375
112	2	1	comhad	14741112.3046875
112	3	1	comhad	15794594.7265625
112	4	1	comhad	16476730.46875
112	5	1	comhad	17068082.03125
113	1	1	comhad	16786751.953125
113	2	1	comhad	13259278.3203125
113	3	1	comhad	13934039.0625
113	4	1	comhad	14358166.9921875
113	5	1	comhad	15025900.390625
114	1	1	comhad	14671238.28125
114	2	1	comhad	11590883.7890625
114	3	1	comhad	12190300.78125
114	4	1	comhad	13145400.390625
114	5	1	comhad	13162627.9296875
115	1	1	comhad	12979402.34375
115	2	1	comhad	10367403.3203125
115	3	1	comhad	10804617.1875
115	4	1	comhad	11297903.3203125
115	5	1	comhad	11606099.609375
116	1	1	comhad	11351965.8203125
116	2	1	comhad	8740878.90625
116	3	1	comhad	8184560.05859375
116	4	1	comhad	8308788.0859375
116	5	1	comhad	8582294.921875
117	1	1	comhad	8713707.03125
117	2	1	comhad	6619078.61328125
117	3	1	comhad	7626201.66015625
117	4	1	comhad	8046974.12109375
117	5	1	comhad	8033558.10546875
118	1	1	comhad	8027682.12890625
118	2	1	comhad	6395240.234375
118	3	1	comhad	7069366.69921875
118	4	1	comhad	7555957.51953125
118	5	1	comhad	7592059.08203125
119	1	1	comhad	7607398.4375
119	2	1	comhad	5958043.9453125
119	3	1	comhad	6829911.62109375
119	4	1	comhad	7487795.41015625
119	5	1	comhad	7666610.3515625
120	1	1	comhad	7770046.875
120	2	1	comhad	5933231.4453125
120	3	1	comhad	6933774.90234375
120	4	1	comhad	7341445.3125
120	5	1	comhad	7358732.91015625
